INADIMPLENTE,CREDITO_CONCEDIDO,GENERO,ESCOLARIDADE,ESTADO_CIVIL,IDADE,ATRASO_PARCELA_M_0,ATRASO_PARCELA_M_2,ATRASO_PARCELA_M_3,ATRASO_PARCELA_M_4,ATRASO_PARCELA_M_5,ATRASO_PARCELA_M_6,SALDO_PAGO_PARCELA_1,SALDO_PAGO_PARCELA_2,SALDO_PAGO_PARCELA_3,SALDO_PAGO_PARCELA_4,SALDO_PAGO_PARCELA_5,SALDO_PAGO_PARCELA_6,VALOR_PAGAMENTO_ANTERIOR_1,VALOR_PAGAMENTO_ANTERIOR_2,VALOR_PAGAMENTO_ANTERIOR_3,VALOR_PAGAMENTO_ANTERIOR_4,VALOR_PAGAMENTO_ANTERIOR_5,VALOR_PAGAMENTO_ANTERIOR_6
0,480000,2,2,1,35,0,0,0,0,0,0,227221,243942,244961,248394,253596,211055,51000,10000,8000,8200,23000,8000
1,60000,1,1,2,35,0,1,1,-1,0,-1,737,320,-2743,436,20,-225,0,0,5439,0,170,0
0,200000,2,3,2,49,-1,-1,0,0,0,-1,7697,18951,27974,30596,38109,22170,20071,20036,15022,15113,22235,3919
0,180000,1,1,1,48,0,0,0,0,0,0,163461,167140,160707,162477,166861,171083,8000,8000,6000,7000,7000,7000
1,200000,1,1,1,27,0,0,1,0,0,0,188361,205761,201605,179983,185993,192317,21364,1401,9637,9559,9497,15555
0,20000,1,2,2,30,3,2,3,3,5,4,15556,16987,18406,20795,20175,21265,2000,2000,3000,0,2000,0
1,20000,2,2,2,22,-1,3,2,2,0,0,18021,17439,17466,17846,18310,18923,0,600,1000,1000,1000,700
1,20000,1,2,1,35,0,0,0,1,5,4,8272,11519,14957,19814,19661,19273,3713,3848,5236,236,338,661
1,50000,1,2,1,39,1,2,0,0,0,0,49960,48862,49550,49089,17368,17878,0,1542,2302,1322,1000,988
1,300000,1,1,1,38,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
1,50000,1,2,1,25,-1,-1,-1,-1,-1,-1,508,1539,710,724,1028,69,1539,710,724,1028,69,69
0,30000,2,1,2,24,0,0,0,0,0,0,28049,27383,25728,26521,23593,21963,2000,1500,2000,1000,1000,1000
0,80000,2,2,1,37,-1,-1,-1,-1,-1,-1,1480,3832,898,425,0,2791,3832,898,425,0,2791,0
0,120000,2,2,1,40,0,0,0,0,0,0,109399,109397,36850,37739,38381,39142,3900,1700,1500,1400,1400,1500
1,102198,2,1,1,29,0,0,-1,-2,-2,-2,27926,2267,-63,-63,-63,-63,1478,0,0,0,0,0
0,70000,2,2,3,24,1,2,0,0,0,0,4177,2657,2752,1048,462,830,0,1500,0,0,1123,0
1,180000,1,1,2,34,0,0,2,0,0,0,8798,11369,10086,10587,9333,8609,2734,0,846,283,293,366
1,200000,2,1,2,42,-1,-1,-1,-1,-1,-1,1347,208,1582,3607,894,301,208,1677,3607,894,301,2457
1,200000,1,1,1,29,2,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0
0,20000,2,3,2,31,-2,-2,-1,0,0,-1,-885,-885,18354,19064,19422,4390,20,21431,2300,558,4403,0
1,38364,1,3,1,46,2,1,0,0,0,0,49413,46349,43477,31118,23484,29645,1047,1279,814,1570,30460,1081
0,120000,2,2,2,37,0,-1,-1,-1,-1,-1,3014,380,380,380,380,380,760,380,380,380,380,530
1,10000,1,2,2,24,1,2,2,2,2,2,6496,6246,8965,8672,9525,9228,0,3000,0,1000,0,800
0,50000,2,2,2,24,0,0,0,0,0,-2,2568,3589,4608,4919,0,0,1070,1089,1000,0,0,0
1,70000,1,2,1,53,1,1,1,1,1,1,69584,70958,71505,68893,71918,70595,3404,2668,953,4277,926,2730
1,260000,2,1,2,31,-1,-1,-1,-1,-1,-1,717,-1,3527,97,727,2468,0,3529,97,727,2468,0
0,50000,2,3,1,50,1,2,2,-2,-2,-2,4446,4166,0,0,0,0,0,0,0,0,0,0
0,220000,1,2,2,30,0,0,0,0,0,0,226613,217800,189016,137788,106713,96588,7667,7261,5170,4054,4500,1225
1,10000,2,3,3,52,2,0,0,2,0,0,9970,9625,9622,7773,5968,5380,2001,1801,0,700,1300,3200
1,50000,1,2,1,39,0,0,0,0,0,0,50230,49973,23431,20696,19229,18483,1064,1029,896,778,669,681
1,100000,2,1,1,28,0,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,310000,2,2,2,25,0,0,0,0,0,0,28598,22017,14605,15125,18048,16607,8820,1576,1000,3100,2000,1000
0,250000,2,1,2,40,-1,-1,-1,-1,-1,-1,3264,2395,2986,24971,500,2162,2395,2991,25185,500,2162,0
1,80000,2,1,2,32,1,1,2,0,0,0,79252,85435,79585,80308,79968,77523,8605,0,4794,3068,1524,3949
1,120000,1,2,1,41,1,0,0,0,2,2,84228,83729,85654,91478,92966,94870,1749,3666,7266,3558,3558,2099
0,280000,1,1,1,32,0,0,0,0,0,0,284556,265099,270705,278771,283434,259699,9500,10750,12500,11000,9600,9200
0,20000,1,2,2,22,1,2,2,2,0,0,14380,13536,15040,14174,14472,14763,0,2040,0,526,532,1585
1,50000,2,2,1,23,0,0,0,0,0,0,5215,6232,7251,8326,9184,10031,1106,1125,1200,1000,1000,1000
0,50000,1,1,1,38,-1,-1,-1,-1,-1,-1,2536,3147,8321,4453,4038,4764,3147,8321,4453,4038,4764,3662
1,30000,1,2,1,28,0,0,0,0,0,0,7901,9074,10215,11732,12731,13812,1463,1463,2000,1500,1500,1500
0,80000,1,2,2,36,-2,-2,-2,-2,-2,-2,59223,26241,10387,74864,74305,0,1141,10725,74864,1486,0,0
1,50000,1,2,2,31,1,2,0,0,1,0,19672,18435,17313,18589,18356,18824,0,1288,1695,297,851,737
1,120000,1,2,1,58,2,2,2,2,2,2,27394,28045,28972,29322,29867,30485,1388,1690,1124,1172,1267,1408
1,173191,1,1,1,30,1,2,2,2,2,2,132361,134196,130212,139041,136934,145370,5408,0,11000,223,10776,3851
1,190000,1,1,1,30,0,0,1,0,0,0,178799,189514,186784,104906,92902,92871,15000,4270,4504,3443,3341,3707
0,50000,1,1,2,27,0,0,0,0,0,0,49114,49907,38376,19595,19851,20256,2005,1323,840,713,727,701
0,80000,2,2,1,32,-1,-1,-1,0,0,-1,8592,4000,6881,7697,3333,3063,4000,6881,5003,3000,3063,0
0,90000,2,1,2,28,0,0,0,2,2,2,38355,39413,41181,41701,44000,45651,1700,2404,1500,3000,2500,600
0,250000,2,1,1,36,-2,-2,-2,-2,-2,-2,2508,3978,6560,4438,4309,816,3978,6560,4438,4311,816,9165
0,200000,2,2,1,36,-1,-1,-1,-1,-1,-1,371,37647,371,2977,3784,10579,37647,371,2977,3784,10579,10546
1,140000,1,2,2,44,1,0,0,0,0,0,84651,85786,87905,89901,91143,93030,3086,3517,3790,3275,3369,3435
1,20000,1,2,1,38,0,0,0,0,0,2,5705,6715,7736,8745,9394,9101,1266,1287,1296,945,0,481
1,20000,2,2,1,27,3,2,0,0,2,3,4899,4675,5685,6490,6837,6435,0,1095,900,596,0,0
1,20000,1,2,1,44,1,1,2,1,2,2,16416,18970,18379,20048,19890,19719,2961,0,2066,706,359,0
1,20000,1,1,1,42,2,2,1,2,2,2,1108,1029,1153,1074,995,995,0,202,0,0,0,0
1,30000,1,1,2,25,2,-1,2,-1,-1,-1,581,1312,731,7300,6071,7849,1312,0,7300,6071,8000,16000
1,20000,2,2,1,27,1,2,2,1,1,1,20229,20656,20322,19697,20511,20804,1561,542,198,1343,750,0
1,50000,1,2,1,40,0,0,0,0,0,0,49378,48176,50479,46334,47084,39400,2803,4213,1130,1154,1876,376
1,30000,2,1,2,25,0,1,0,0,0,-1,29237,28705,28661,19231,1142,3431,503,1408,35,3,3931,5
1,210000,1,2,1,40,0,-1,-1,-1,-1,-1,0,2359,163,163,163,163,2359,163,163,163,163,163
1,90000,2,2,1,40,2,2,1,0,0,2,62511,63281,62629,65106,68419,73154,2364,768,3513,4369,6011,843
1,500000,1,2,1,43,-1,-1,-1,0,-1,0,208,1312,3594,208,416,208,1312,3594,0,416,0,16685
1,104816,1,1,1,35,0,0,0,0,0,0,104003,97353,84616,76013,73332,70660,3683,3519,2992,2945,2958,1618
0,200000,2,2,1,39,-1,-1,-1,-1,-1,-1,13145,15549,21375,9312,23958,10825,15571,21488,9312,23958,10825,10773
0,20000,1,2,2,24,0,0,2,0,0,0,19401,20610,19682,19593,20001,19466,3232,0,815,858,832,560
1,10000,1,2,1,47,0,1,1,-2,-2,-2,1733,884,0,0,0,0,752,0,0,0,0,0
0,290000,1,2,1,36,0,0,0,0,0,0,72774,67311,66183,61332,62445,59213,3500,3000,3000,3000,3000,3000
0,500000,1,1,2,39,-1,-1,-1,-1,0,-1,2450,11833,22963,7086,5453,1486,11833,22963,7086,0,1486,7570
0,390000,2,1,2,32,0,0,0,0,0,0,22008,23645,24947,26223,27643,29025,2000,2000,2000,2000,2000,2000
1,208660,1,1,1,35,7,6,5,4,3,2,251082,241948,232780,224028,216818,210876,0,185,0,0,340,1417
1,360000,1,1,1,37,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,200000,2,3,1,44,0,0,0,0,0,0,34760,37871,39879,42946,46141,46305,4000,3000,4000,4000,3000,3000
1,548203,1,1,1,48,-1,-1,-1,0,-1,-1,41720,1526,1464,17697,-6,28,1533,1477,17763,107,143,22071
1,76074,2,2,1,33,0,0,0,0,0,0,76923,74558,66860,50610,49560,50085,3000,2892,3232,3530,2310,2255
