INADIMPLENTE,CREDITO_CONCEDIDO,GENERO,ESCOLARIDADE,ESTADO_CIVIL,IDADE,ATRASO_PARCELA_M_0,ATRASO_PARCELA_M_2,ATRASO_PARCELA_M_3,ATRASO_PARCELA_M_4,ATRASO_PARCELA_M_5,ATRASO_PARCELA_M_6,SALDO_PAGO_PARCELA_1,SALDO_PAGO_PARCELA_2,SALDO_PAGO_PARCELA_3,SALDO_PAGO_PARCELA_4,SALDO_PAGO_PARCELA_5,SALDO_PAGO_PARCELA_6,VALOR_PAGAMENTO_ANTERIOR_1,VALOR_PAGAMENTO_ANTERIOR_2,VALOR_PAGAMENTO_ANTERIOR_3,VALOR_PAGAMENTO_ANTERIOR_4,VALOR_PAGAMENTO_ANTERIOR_5,VALOR_PAGAMENTO_ANTERIOR_6
0,440000,2,1,2,34,-2,-2,-2,-2,-2,-2,4196,10121,32921,22680,13711,11074,10137,32921,15701,5711,5074,14825
0,40000,1,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
1,190000,2,2,1,43,1,2,0,0,0,0,189697,185105,184180,156969,157856,158451,0,9021,6000,5489,5670,6000
1,70000,1,1,1,38,1,2,2,2,0,0,23833,23987,26254,26003,26968,26418,844,2808,496,1503,1248,503
1,50000,2,2,1,39,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390
1,130000,1,2,1,28,-1,-1,-1,-1,-1,0,940,1774,1334,580,907,2200,1774,1334,580,907,1756,2980
1,50000,1,1,2,25,0,0,0,0,0,0,5886,6963,6613,7379,3784,2563,1247,1066,832,486,0,0
1,60000,1,1,1,35,1,2,0,0,0,0,60687,54372,58807,60185,29620,33830,0,5951,3025,1166,6159,2069
1,80000,2,2,2,30,0,0,0,0,0,0,28336,27123,22618,20571,19067,16292,1755,1563,1341,778,551,669
0,30000,2,3,2,50,0,0,2,0,0,0,17891,19087,20078,20935,17228,17606,1800,1600,1600,1000,734,481
1,80000,2,3,1,34,0,0,2,2,2,0,43321,47586,48525,49423,46132,47233,5000,2000,2000,0,2000,2000
1,229079,2,2,1,50,0,0,0,0,0,0,52234,54359,57158,58293,59634,60710,3004,3740,2086,2279,2073,2240
1,240000,2,2,2,30,-1,-1,0,-1,-1,-1,4684,18412,16580,416,416,416,18432,1416,16580,416,416,416
1,50000,2,2,1,40,0,0,0,0,0,0,47434,48364,44368,43610,18811,15584,2195,2097,2204,1000,507,1143
0,50000,2,3,1,61,0,0,-2,-2,-1,0,42200,0,0,0,15883,16617,0,0,0,15883,1000,792
0,500000,1,1,1,39,0,0,0,0,0,0,133598,167378,171106,174500,137406,204975,54209,4607,4603,5224,207440,7509
0,240000,2,1,2,39,0,0,0,0,0,0,123704,125133,128856,131620,134413,137188,4905,5800,4900,4900,5000,4515
1,210000,2,2,1,50,-1,-1,-1,0,0,0,379,379,486,432,379,326,379,486,326,326,326,432
0,50000,2,2,1,37,0,0,0,0,0,0,35874,32130,34602,35172,27568,28467,1600,3000,1477,2000,1500,2500
1,20000,1,3,1,46,0,1,1,1,1,0,9392,10230,10942,12039,11888,12577,1148,1074,1584,296,929,2547
0,30000,2,2,2,21,0,0,0,0,0,0,28409,28530,29435,30841,29434,16565,2000,2000,2000,1765,331,0
1,20000,1,2,2,42,-1,0,-1,-1,0,-1,289,1835,1009,620,401,1406,1009,1009,620,182,1421,0
1,50000,2,3,2,26,2,2,2,2,2,2,33457,34504,35447,36061,36571,35850,1900,1800,1500,1400,0,3000
0,20000,1,3,2,52,0,0,2,0,0,0,16735,20373,12071,12567,13949,14318,4008,0,1000,1600,600,532
1,220000,2,1,1,36,1,1,-1,1,0,2,3742,3601,2455,1290,2803,2574,198,3213,311,2679,78,0
1,150000,2,2,1,35,0,0,0,0,0,0,102007,93116,84302,74986,67369,60434,5000,5045,2563,3006,3000,2218
0,230000,2,2,2,47,-2,-2,-2,-1,0,0,0,0,0,1360,680,600,0,0,1360,0,600,0
0,50000,1,2,2,27,0,0,0,0,0,0,91493,47836,47360,48296,47790,49045,3749,2500,2000,2000,2069,2000
0,90000,1,3,1,62,0,0,0,0,-1,-1,86200,81995,16985,12985,285,-4715,2500,1000,1000,500,0,31000
1,160000,2,1,2,27,1,-1,0,0,0,0,0,11700,12829,10801,10351,3366,11700,12014,8000,5000,0,1263
1,10000,1,3,1,53,3,2,1,1,1,1,7930,7668,8391,9072,9960,8418,14,1001,1001,991,5,1976
0,120000,1,2,2,25,0,0,2,0,0,0,11147,9757,9423,3345,2929,2520,2446,438,1000,0,7,0
0,20000,2,1,2,22,1,2,0,0,0,0,18761,18167,19202,20178,20281,20293,0,1634,1610,710,717,722
1,100000,2,2,2,30,2,2,2,2,0,0,96604,94153,102623,100090,101511,103503,0,10000,0,4000,7816,0
0,30000,2,3,2,50,0,0,-1,-1,-2,-1,25648,25524,3737,0,0,22525,1000,3836,0,0,22525,0
1,140000,1,1,1,55,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
1,130000,2,2,2,26,0,0,0,0,-1,0,130318,131351,131352,121931,61755,61453,4700,5108,3860,82367,3041,2000
1,50000,2,2,1,32,1,1,1,0,0,0,45921,48200,43468,40037,16828,11857,3238,808,6200,1027,406,695
0,110000,2,2,1,35,-1,-1,-1,0,0,-1,1245,1245,1490,2490,1245,2675,1245,1490,2245,0,2675,0
1,80000,2,2,2,23,1,2,2,2,2,2,21775,21127,23772,23092,24806,24272,0,3000,0,2100,0,1500
0,300000,1,1,1,44,0,0,0,0,0,0,21507,18505,17036,12863,9597,2304,1379,1008,270,206,329,19769
1,30000,1,1,1,36,1,1,2,2,2,1,24010,25981,27458,27782,28085,28058,2401,2201,1073,894,566,1911
0,330000,2,1,1,40,-2,-2,-2,-1,-1,0,2573,1800,-910,-1878,252686,72401,1800,0,594,256662,3000,4944
1,80000,1,2,2,28,0,-1,0,0,0,0,157,5025,5984,12852,13504,14563,5532,1306,7889,1305,3351,652
0,30000,2,2,2,25,2,2,2,2,3,2,300,300,300,1126,826,676,0,0,828,0,0,31496
0,130000,2,3,2,40,0,0,0,0,-2,-2,98874,99363,101618,-32,-32,-32,5000,5000,3000,0,0,1000
0,70000,1,1,2,29,0,0,0,2,0,0,32938,33635,35287,36002,37096,37999,1548,2200,1600,2000,1500,3000
1,173012,2,3,1,39,1,1,0,0,0,0,177317,50538,14408,13640,3633,0,1039,1397,793,698,0,25630
1,240000,1,3,1,43,-1,-1,2,2,2,2,2690,2500,2500,2500,2500,0,2500,0,0,0,0,0
1,140000,1,2,1,34,-1,-1,-1,0,0,0,316,345,453,478,370,534,373,453,370,237,509,237
0,150000,2,2,2,27,0,0,0,0,0,0,58751,60163,62142,57777,51110,52284,3000,3000,2010,2000,2000,2000
0,30000,2,2,1,34,0,0,0,0,0,0,26253,27256,28472,29212,29400,30000,1444,1660,1400,588,600,0
0,50000,1,2,2,41,0,0,0,0,0,0,48152,45974,44792,18649,16260,18745,2043,3000,14000,545,5000,308
1,210000,1,1,1,37,-1,-1,-1,-1,-1,-1,535,884,1125,188,-144,592,884,1184,202,202,1338,456
1,50000,1,2,1,23,1,-1,-1,1,0,0,1241,1241,2061,1487,1121,755,1241,2061,24,24,24,0
1,70000,1,2,2,30,1,1,1,0,0,1,66009,67509,66062,66732,35599,36298,3200,263,2924,2842,1482,113
1,210000,2,2,1,50,-1,-1,-1,-1,-1,-1,390,390,390,390,390,152,390,390,390,390,152,775
1,20000,2,2,1,26,0,0,0,1,0,0,6110,2422,4085,4330,3334,3344,1487,1718,484,12,19,0
0,50000,2,2,2,25,0,0,0,0,0,0,33703,30857,28481,27634,26691,26329,1800,1800,1400,915,1500,1500
